Question,Answer
What is the primary effect of the item 'Banshee's Veil'?," ""Blocks one incoming spell every 40 seconds"""
Which champion is known as the 'Night Hunter'?," ""Vayne"""
What does the Infernal Drake buff provide?," ""Increases attack damage and ability power"""
Which champion can chain enemies to a wall with 'Wall Slam'?," ""Poppy"""
What is the name of Jhin's ultimate ability?," ""Curtain Call"""
What is the maximum number of control wards a player can place on the map at the same time?," ""1"""
What is the name of Yasuo's passive ability?," ""Way of the Wanderer"""
Which champion's ultimate ability is 'Unstoppable Force'?," ""Malphite"""
What is the name of Miss Fortune's passive ability?," ""Love Tap"""
Which item provides an active that slows enemies in an area?," ""Randuin's Omen"""
What does the Hextech Flashtraption rune allow you to do?," ""Flash to a nearby location after channeling for 2 seconds"""
Which champion can heal allies with the ability 'Astral Infusion'?," ""Soraka"""
What is the effect of the 'Ocean Drake' buff?," ""Restores missing health every 5 seconds"""
Which champion is known as the 'Ice Witch'?," ""Lissandra"""
Which champion's passive is 'Vastayan Grace'?," ""Ahri"""
What is the primary role of the champion 'Leona'?," ""Tank/Support"""
Which champion has a mini-game involving collecting chimes?," ""Bard"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
Which item grants armor and reduces the attack speed of nearby enemies?," ""Frozen Heart"""
Which champion is known as the 'Blade Dancer'?," ""Irelia"""
What is the name of Darius's ultimate ability?," ""Noxian Guillotine"""
Which champion can place a lantern that allies can click on to dash to safety?," ""Thresh"""
What does the 'Mountain Drake' buff provide?," ""Increases armor and magic resist"""
Which champion has the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the cooldown reduction provided by the item 'Ionian Boots of Lucidity'?," ""20%"""
Which champion's ultimate ability is 'The Quickness'?," ""Rakan"""
Which champion is known for her global healing ability?," ""Soraka"""
What is the passive effect of the item 'Warmog's Armor'?," ""Restores 5% of maximum health per second if not damaged for 6 seconds"""
What is the primary function of the item 'Redemption'?," ""Heals allies in an area and damages enemies"""
What is the maximum amount of bonus gold a player can earn from a fully stacked 'Mejai's Soulstealer'?," ""10 stacks (total of 25 bonus gold)"""
Which champion's abilities revolve around using her bow and ice?," ""Ashe"""
Which champion has the ability 'Miasma'?," ""Cassiopeia"""
What is the primary role of the champion 'Amumu'?," ""Tank"""
Which champion's passive is 'Ablaze'?," ""Brand"""
What is the name of the ability that allows Kai'Sa to reposition quickly?," ""Supercharge"""
Which champion is known for his shapeshifting abilities?," ""Nidalee"""
What does the 'Rift Scuttler' provide when killed?," ""Vision and movement speed in the river"""
"Which item has the passive 'Cleave', dealing physical damage to nearby enemies?"," ""Ravenous Hydra"""
What is the main effect of the 'Black Cleaver' item?," ""Reduces enemy armor with each attack"""
Which champion can dash to an enemy and deal damage with the ability 'Quickdraw'?," ""Graves"""
Which champion is known as the 'Virtuoso'?," ""Jhin"""
What is the effect of the 'Elder Dragon' buff?," ""Executes low-health enemies"""
Which champion has the ability 'Null Sphere'?," ""Kassadin"""
What is the primary effect of the item 'Spirit Visage'?," ""Increases healing received"""
Which champion can spawn turrets with the ability 'H-28G Evolution Turret'?," ""Heimerdinger"""
What is the name of the champion who uses the passive 'Time in a Bottle'?," ""Zilean"""
What is the primary purpose of the item 'Thornmail'?," ""Reflects damage back to attackers"""
Which champion's ultimate ability is 'Moonfall'?," ""Diana"""
What is the name of the ability that allows Warwick to jump long distances?," ""Infinite Duress"""
"Which champion's passive is 'Soul Eater', gaining lifesteal?"," ""Aatrox"""
Which champion is known as the 'Darkin Blade'?," ""Aatrox"""
What is the cooldown reduction granted by the 'Blue Buff'?," ""10%"""
Which champion's ultimate ability is 'Glacial Prison'?," ""Sejuani"""
What is the primary role of the champion 'Alistar'?," ""Tank/Support"""
Which item provides the highest amount of magic resist?," ""Force of Nature"""
What is the name of the ability that allows Fiora to parry incoming damage?," ""Riposte"""
Which champion has the passive ability 'Headshot'?," ""Caitlyn"""
What is the maximum amount of health bonus provided by the item 'Warmog's Armor'?," ""800 Health"""
Which champion can reset their cooldowns after getting a kill or assist with their ultimate?," ""Katarina"""
What is the name of the ability that allows Riven to shield herself?," ""Valor"""
"Which champion's passive is 'Conflagration', which causes abilities to ignite enemies?"," ""Brand"""
What does the 'Mountain Soul' buff provide?," ""Grants a shield after not taking damage for a few seconds"""
Which champion's ultimate ability is 'Summon: Tibbers'?," ""Annie"""
What is the name of the item that provides lifesteal and is used by AD carries?," ""Bloodthirster"""
Which champion can charm enemies with the ability 'Allure'?," ""Evelynn"""
What is the name of the neutral objective that spawns in the enemy jungle and grants vision when slain?," ""Rift Scuttler"""
Which champion can teleport globally with the ultimate 'Destiny'?," ""Twisted Fate"""
Which item grants bonus attack damage and lethality on hit?," ""Duskblade of Draktharr"""
What is the name of the champion known as 'The Sinister Blade'?," ""Katarina"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
Which champion can grant a shield to allies with the ability 'Black Shield'?," ""Morgana"""
What is the unique effect of the item 'Guardian Angel'?," ""Revives the champion after death with a portion of health and mana"""
Which champion has the ability 'Icathian Rain'?," ""Kai'Sa"""
What is the effect of the 'Hextech Drake' buff?," ""Grants bonus attack speed and ability haste"""
Which champion can silence enemies with the ability 'Nevermove'?," ""Swain"""
Which item provides the active 'Protobelt' that allows the champion to dash forward?," ""Hextech Rocketbelt"""
Which champion's passive is 'Courage of the Colossus'?," ""Malphite"""
What is the main effect of the 'Bloodthirster' item?," ""Grants lifesteal and a shield when overhealing"""
Which champion can use 'Devour' to swallow allies or enemies?," ""Tahm Kench"""
Which champion's ultimate ability is 'Crescendo'?," ""Sona"""
What is the cooldown reduction provided by 'Transcendence' rune?," ""10% at level 10"""
Which champion is known as the 'Monkey King'?," ""Wukong"""
Which item grants bonus magic resist and reduces the duration of crowd control?," ""Mercurial Scimitar"""
"Which champion's passive is 'Dark Harvest', dealing bonus damage to low-health enemies?"," ""Any champion can use this rune"""
What is the effect of the 'Infernal Soul' buff?," ""Causes explosions around enemies hit by abilities"""
Which champion can summon ghouls with the ability 'Eulogy of the Isles'?," ""Yorick"""
What is the primary role of the champion 'Zac'?," ""Tank"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
Which champion can heal allies and grant them bonus attack speed with the ability 'Inspire'?," ""Karma"""
Which item provides bonus armor and an active that increases tenacity?," ""Sterak's Gage"""
Which champion's ultimate ability is 'Realm Warp'?," ""Ryze"""
What is the primary effect of the item 'Liandry's Anguish'?," ""Increases damage over time and burns enemies"""
Which champion is known as the 'Grand Duelist'?," ""Fiora"""
What is the passive ability of the champion 'Ornn'?," ""Living Forge - allows him to upgrade items for himself and allies"""
What is the primary role of the champion 'Jhin'?," ""AD Carry"""
Which item provides the highest amount of critical strike chance?," ""Infinity Edge"""
What is the name of the ability that allows Nocturne to dash to an enemy?," ""Paranoia"""
Which champion can camouflage and set traps with the ability 'Yordle Snap Trap'?," ""Caitlyn"""
What is the cooldown of the summoner spell 'Teleport'?," ""420 seconds"""
What is the main effect of the item 'Dead Man's Plate'?," ""Grants bonus movement speed and a slow on the next basic attack"""
Which champion's passive is 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
Which champion has the ability 'Bouncing Blades'?," ""Katarina"""
What is the passive effect of the item 'Sterak's Gage'?," ""Grants a shield based on max health when taking heavy damage"""
Which champion's ultimate ability is 'Soul Shackles'?," ""Morgana"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can summon Voidlings with the ability 'Void Swarm'?," ""Malzahar"""
What is the unique passive of the item 'Frozen Mallet'?," ""Slows enemies on basic attacks"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
Which champion can reset their cooldowns on a takedown with the ability 'Assassin's Path'?," ""Talon"""
Which item grants the active 'Serpent's Fang' that reduces shields?," ""Serpent's Fang"""
"Which champion's passive is 'Blaze', causing abilities to ignite enemies?"," ""Brand"""
What is the cooldown of the summoner spell 'Clarity'?," ""240 seconds (ARAM only)"""
What is the effect of the 'Infernal Drake' buff?," ""Increases attack damage and ability power"""
Which champion can reset auto attacks with the ability 'Judgment'?," ""Garen"""
Which item provides the active 'Zhonya's Paradox' that grants invulnerability?," ""Zhonya's Hourglass"""
What is the primary role of the champion 'Thresh'?," ""Support"""
Which champion has the ability 'Wild Growth' that increases an ally's size?," ""Lulu"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive is 'Blaze of Glory', causing bonus damage on critical hits?"," ""Senna"""
What is the primary function of the item 'Warmog's Armor'?," ""Restores health quickly out of combat"""
Which champion can use 'Mimic' to copy and enhance an ability?," ""LeBlanc"""
What is the effect of the 'Ocean Soul' buff?," ""Heals a portion of missing health when dealing damage"""
What is the cooldown of the summoner spell 'Smite'?," ""90 seconds"""
"Which champion's passive is 'Duelist's Dance', revealing weak spots on enemies?"," ""Fiora"""
What is the cooldown of the summoner spell 'Revive'?," ""600 seconds (no longer available)"""
"Which champion has the ability 'Quickshot', allowing for two quick basic attacks?"," ""Lucian"""
What is the effect of the 'Cloud Soul' buff?," ""Increases movement speed after casting an ultimate"""
Which champion has the ability 'Ebb and Flow' that heals or damages depending on the target?," ""Nami"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive is 'Crimson Pact', granting bonus health and ability power?"," ""Vladimir"""
What is the primary effect of the item 'Death's Dance'?," ""Converts a portion of damage into a bleed effect"""
Which champion can mark an enemy with the ability 'Mark of the Storm'?," ""Kennen"""
What is the cooldown of the summoner spell 'Surge'?," ""220 seconds (no longer available)"""
What is the passive effect of the item 'Force of Nature'?," ""Grants bonus movement speed after taking magic damage"""
Which champion has the ability 'Spinning Axe'?," ""Draven"""
What is the cooldown of the summoner spell 'Revitalize'?," ""No such spell exists"""
What is the primary role of the champion 'Blitzcrank'?," ""Support/Tank"""
Which champion can turn an enemy into a critter with the ability 'Whimsy'?," ""Lulu"""
What is the effect of the 'Elder Soul' buff?," ""Executes low-health enemies"""
Which champion has the ability 'Timewinder'?," ""Ekko"""
What is the cooldown of the summoner spell 'Teleport'?," ""420 seconds"""
"Which champion's passive is 'Plunder', granting bonus gold on kill?"," ""Gangplank"""
What is the main effect of the item 'Maw of Malmortius'?," ""Grants a shield against magic damage"""
Which champion can extend their auto-attack range with the ability 'Lethal Tempo'?," ""Any champion can use this rune"""
Which champion's ultimate ability is 'Devour'?," ""Tahm Kench"""
Which champion has the ability 'Righteous Fury' that enhances basic attacks with bonus magic damage?," ""Kayle"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive is 'Captive Audience', placing a trap on the ground?"," ""Jhin"""
What is the effect of the 'Hextech Soul' buff?," ""Creates a slowing shockwave after damaging an enemy with a basic attack or ability"""
Which champion has the ability 'Chain of Corruption'?," ""Varus"""
Which item grants bonus attack speed and on-hit magic damage?," ""Wit's End"""
Which champion's ultimate ability is 'Mega Inferno Bomb'?," ""Ziggs"""
What is the name of the item that grants bonus attack damage and movement speed after an enemy's death?," ""Youmuu's Ghostblade"""
What is the primary role of the champion 'Vel'Koz'?," ""Mage"""
Which champion can pass through walls with the ability 'Umbral Trespass'?," ""Kayn"""
What is the cooldown of the summoner spell 'Teleport' after using it on a tower?," ""240 seconds"""
Which item grants an aura that increases the attack speed of nearby allies?," ""Zeke's Convergence"""
Which champion has the ability 'Defensive Ball Curl'?," ""Rammus"""
What is the unique passive of the item 'Gargoyle Stoneplate'?," ""Grants bonus resistances when near 3 or more enemies"""
What is the main function of the item 'Bloodthirster'?," ""Provides lifesteal and a shield when overhealed"""
Which champion can teleport to any structure with their ultimate?," ""Shen"""
What is the name of the item that grants bonus magic resist and a shield against magic damage?," ""Banshee's Veil"""
"Which champion's passive is 'Gathering Storm', increasing attack speed over time?"," ""Jhin"""
What is the primary effect of the item 'Rylai's Crystal Scepter'?," ""Applies a slow on abilities"""
Which champion has the ability 'Whirling Death'?," ""Draven"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
Which champion can place mushrooms on the map that explode upon contact?," ""Teemo"""
What is the name of the champion known as 'The Eye of Twilight'?," ""Shen"""
Which item provides the highest amount of health regeneration?," ""Warmog's Armor"""
What is the effect of the 'Cloud Drake' buff?," ""Increases out-of-combat movement speed"""
Which champion has the ability 'Buster Shot'?," ""Tristana"""
What is the cooldown of the summoner spell 'Clarity' in ARAM?," ""240 seconds"""
Which champion's ultimate ability is 'Depth Charge'?," ""Nautilus"""
What is the primary function of the item 'Frozen Mallet'?," ""Provides bonus health and slows enemies on hit"""
"Which champion's passive is 'Born of Flame', empowering abilities over time?"," ""Ornn"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
What is the unique passive of the item 'Trinity Force'?," ""Grants bonus damage on the next basic attack after using an ability"""
Which champion has the ability 'Collateral Damage'?," ""Graves"""
What is the effect of the 'Mountain Drake' buff?," ""Increases armor and magic resist"""
Which champion can use 'Death's Grasp' to pull enemies towards them?," ""Mordekaiser"""
What is the primary role of the champion 'Soraka'?," ""Support"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive is 'Crimson Pact', converting health into ability power?"," ""Vladimir"""
What is the main effect of the item 'Rapid Firecannon'?," ""Increases attack range and movement speed"""
Which champion has the ability 'Explosive Charge'?," ""Tristana"""
What is the unique passive of the item 'Infinity Edge'?," ""Increases critical strike damage"""
Which champion can use 'Glacial Fissure' to knock up enemies?," ""Braum"""
What is the cooldown of the summoner spell 'Smite'?," ""90 seconds"""
What is the primary function of the item 'Locket of the Iron Solari'?," ""Grants a shield to nearby allies"""
Which champion's ultimate ability is 'Subjugate'?," ""Trundle"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
Which champion has the ability 'Crescent Strike'?," ""Diana"""
What is the unique passive of the item 'Lich Bane'?," ""Grants bonus magic damage on the next basic attack after using an ability"""
What is the primary role of the champion 'Karma'?," ""Support/Mage"""
"Which champion's passive is 'Soul-Eater', granting lifesteal?"," ""Aatrox"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
Which champion has the ability 'Elastic Slingshot'?," ""Zac"""
What is the unique passive of the item 'Sterak's Gage'?," ""Grants a shield based on max health when taking heavy damage"""
What is the main effect of the item 'Sunfire Aegis'?," ""Deals magic damage per second to nearby enemies"""
Which champion has the ability 'Arcane Barrage'?," ""Xerath"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
Which champion can heal allies with the ability 'Piercing Darkness'?," ""Senna"""
What is the unique passive of the item 'Spirit Visage'?," ""Increases healing received"""
Which champion's ultimate ability is 'Unbreakable Will'?," ""Alistar"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can mark an enemy with the ability 'Hemoplague'?," ""Vladimir"""
What is the unique passive of the item 'Force of Nature'?," ""Grants bonus movement speed after taking magic damage"""
"Which champion has the ability 'Judgment', spinning to deal damage?"," ""Garen"""
What is the cooldown of the summoner spell 'Teleport'?," ""420 seconds"""
Which champion can create a barrier with the ability 'Pillar of Ice'?," ""Trundle"""
What is the effect of the 'Infernal Soul' buff?," ""Causes explosions around enemies hit by abilities"""
Which champion's ultimate ability is 'Bullet Time'?," ""Miss Fortune"""
What is the cooldown of the summoner spell 'Clairvoyance'?," ""No longer available"""
"Which champion has the ability 'Endless Rage', preventing death?"," ""Tryndamere"""
What is the unique passive of the item 'Frozen Heart'?," ""Reduces the attack speed of nearby enemies"""
What is the cooldown of the summoner spell 'Teleport' in the early game?," ""360 seconds"""
Which champion can steal life with the ability 'Taste Their Fear'?," ""Kha'Zix"""
What is the effect of the 'Ocean Drake' buff?," ""Restores missing health every 5 seconds"""
Which champion has the ability 'Chum the Waters'?," ""Fizz"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
Which champion can reset cooldowns with the ability 'Reset'?," ""Jinx"""
What is the unique passive of the item 'Hexdrinker'?," ""Grants a shield against magic damage when health is low"""
"Which champion's passive is 'Pox Arcana', dealing bonus magic damage on hit?"," ""Malzahar"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
Which champion can consume allies or enemies with the ability 'Thick Skin'?," ""Tahm Kench"""
What is the unique passive of the item 'Wit's End'?," ""Deals bonus magic damage on hit and grants magic resist"""
"Which champion has the ability 'Empower', enhancing the next basic attack?"," ""Jax"""
What is the effect of the 'Elder Dragon' buff?," ""Executes low-health enemies"""
Which champion can move swiftly and heal with the ability 'Fleet of Foot'?," ""Sona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
Which champion can use 'Chronobreak' to rewind time?," ""Ekko"""
What is the unique passive of the item 'Thornmail'?," ""Reflects damage back to attackers"""
Which champion can create a magic shield with the ability 'Eye of the Storm'?," ""Janna"""
"Which champion's passive is 'Battle Fury', converting attack speed into attack damage?"," ""Tryndamere"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
Which champion can use 'Unleashed Power' to hurl orbs at an enemy?," ""Syndra"""
What is the effect of the 'Baron Buff'?," ""Enhances minions and increases attack damage and ability power"""
"Which champion has the ability 'Rake', sending blades outward and pulling them back?"," ""Talon"""
What is the cooldown of the summoner spell 'Clarity' in ARAM?," ""240 seconds"""
Which champion can set turrets with the ability 'H-28G Evolution Turret'?," ""Heimerdinger"""
Qual é o nome da habilidade suprema de Thresh?," ""A Caixa"""
Qual campeão é conhecido como 'O Terror das Profundezas'?," ""Nautilus"""
Qual item concede roubo de vida e dano de ataque?," ""Sedenta por Sangue"""
Qual campeão possui a habilidade 'Ataque Orbital'?," ""Kog'Maw"""
O que a habilidade passiva 'Caçada Eterna' de Kindred faz?," ""Marca inimigos para coletar almas"""
Qual é o efeito da habilidade suprema 'Feitiço da Sereia' de Nami?," ""Lança uma onda que derruba e diminui a velocidade dos inimigos"""
Qual campeão possui a habilidade 'Proteção Cósmica'?," ""Bardo"""
Qual item concede poder de habilidade e redução de cura inimiga?," ""Morellonomicon"""
Qual é o nome da habilidade suprema de Fiddlesticks?," ""Tempestade de Corvos"""
Qual campeão é conhecido como 'A Protetora de Piltover'?," ""Caitlyn"""
Qual é o principal efeito da habilidade 'Tornado de Lâminas' de Yasuo?," ""Lança inimigos ao ar"""
Qual item fornece velocidade de ataque e aumento de vida ao causar dano crítico?," ""Dançarina Fantasma"""
Qual campeão tem a habilidade 'Brilho Destrutivo'?," ""Lux"""
Qual é o nome da habilidade suprema de Zed?," ""Marca Fatal"""
Qual item concede um escudo baseado em vida ao sofrer dano pesado?," ""Gávea de Sterak"""
Qual campeão é conhecido como 'A Vingadora Implacável'?," ""Vayne"""
Qual é o principal efeito da habilidade passiva 'Segunda Pele' de Kai'Sa?," ""Aplica plasma nos inimigos"""
Qual campeão pode voar pelo mapa com a habilidade 'Voo do Corvo'?," ""Swain"""
Qual é o efeito da habilidade suprema 'Morte Primordial' de Pyke?," ""Executa inimigos com pouca vida"""
Qual item concede poder de habilidade e dano mágico ao atingir habilidades?," ""Capuz da Morte de Rabadon"""
Qual campeão é conhecido como 'O Domo de Aço'?," ""Malphite"""
Qual é a principal função da habilidade 'Chamado da Serpente' de Cassiopeia?," ""Petrifica inimigos que a olham de frente"""
Qual item concede velocidade de ataque e dano de ataque em ataques básicos?," ""Gume do Infinito"""
Qual campeão tem a habilidade 'Cápsula de Aço'?," ""Rengar"""
Qual é o nome da habilidade suprema de Viktor?," ""Tempestade do Caos"""
Qual item reduz a velocidade de ataque dos inimigos próximos?," ""Coração Congelado"""
Qual campeão pode lançar uma onda de escuridão com a habilidade 'Paranoia'?," ""Nocturne"""
Qual é o principal efeito da habilidade passiva 'Fogo Interior' de Brand?," ""Faz habilidades explodirem inimigos ao acertá-los"""
Qual item concede armadura e reduz a cura recebida por inimigos atingidos?," ""Armadura de Espinhos"""
Qual campeão tem a habilidade 'Caminho das Sombras'?," ""Shen"""
Qual é o nome da habilidade suprema de Karthus?," ""Réquiem"""
Qual item concede dano de ataque e velocidade de movimento ao eliminar inimigos?," ""Limiar da Noite"""
Qual campeão pode criar uma arena inescapável com a habilidade 'Areias de Shurima'?," ""Azir"""
Qual é o efeito da habilidade passiva 'Cicatrizes de Batalha' de Dr. Mundo?," ""Regenera vida com base em vida máxima"""
Qual item concede resistência mágica e redução na duração de efeitos de controle?," ""Bandana de Mercúrio"""
Qual campeão tem a habilidade 'Trator de Plasma'?," ""Xerath"""
Qual é o nome da habilidade suprema de Riven?," ""Lâmina do Exílio"""
Qual item concede poder de habilidade e aumenta o dano ao longo do tempo?," ""Tormento de Liandry"""
Qual campeão pode se transformar em outro campeão com a habilidade 'Truque de Mestre'?," ""Sylas"""
Qual é o efeito da habilidade passiva 'Sedenta por Sangue' de Aatrox?," ""Roubo de vida em habilidades"""
Qual item concede velocidade de ataque e dano crítico em ataques básicos?," ""Faca de Statikk"""
Qual campeão tem a habilidade 'Espinhos Assassinos'?," ""Zyra"""
Qual é o nome da habilidade suprema de Syndra?," ""Poder Irrestrito"""
Qual item concede armadura e aumenta a regeneração de vida?," ""Capa de Fogo Solar"""
Qual campeão pode se tornar invisível e atravessar paredes com a habilidade 'Envolto em Sombras'?," ""Kayn"""
Qual é o principal efeito da habilidade passiva 'Lobo Interior' de Warwick?," ""Aumenta velocidade de ataque ao cheirar sangue"""
Qual item concede roubo de vida e redução de dano sofrido?," ""Dança da Morte"""
Qual campeão tem a habilidade 'Disparo Místico'?," ""Ezreal"""
Qual é o nome da habilidade suprema de Akali?," ""Execução Perfeita"""
Qual item concede poder de habilidade e aumento da cura recebida?," ""Visage Espiritual"""
Qual campeão pode ressuscitar aliados com a habilidade 'Guardião'?," ""Zilean"""
Qual é o efeito da habilidade passiva 'Olhos na Escuridão' de Evelynn?," ""Camuflagem após nível 6"""
Qual item concede poder de habilidade e escudo contra dano mágico?," ""Véu da Banshee"""
Qual campeão tem a habilidade 'Golpe de Noxus'?," ""Darius"""
Qual é o nome da habilidade suprema de Miss Fortune?," ""Metralhadora"""
Qual item concede dano de ataque e aumenta a penetração de armadura?," ""Lembrete Mortal"""
Qual campeão pode lançar uma prisão de luz com a habilidade 'Luz Encadeadora'?," ""Lux"""
Qual é o principal efeito da habilidade passiva 'Toque Ígneo' de Brand?," ""Explosões ao atingir habilidades"""
Qual item concede poder de habilidade e diminui o tempo de recarga?," ""Ampulheta de Zhonya"""
Qual campeão tem a habilidade 'Rajada de Vento'?," ""Janna"""
Qual é o nome da habilidade suprema de Rakan?," ""Entrada Triunfal"""
Qual item concede dano de ataque e escudo contra dano mágico?," ""Anjo Guardião"""
Qual campeão pode enraizar inimigos com a habilidade 'Raízes Espinhosas'?," ""Maokai"""
Qual é o principal efeito da habilidade passiva 'Gume Sombrio' de Zed?," ""Aumenta o dano de habilidades em inimigos com pouca vida"""
Qual item concede poder de habilidade e aumenta a velocidade de movimento ao usar habilidades?," ""Eco de Luden"""
Qual campeão tem a habilidade 'Fúria da Natureza'?," ""Ivern"""
Qual é o nome da habilidade suprema de Katarina?," ""Lótus da Morte"""
Qual item concede resistência mágica e aumenta a velocidade de movimento?," ""Cetro de Cristal de Rylai"""
Qual campeão pode invocar uma muralha com a habilidade 'Parede de Vento'?," ""Yasuo"""
Qual é o efeito da habilidade passiva 'Força do Titã' de Sett?," ""Acumula dano absorvido para liberar em um golpe"""
Qual item concede armadura e desacelera os inimigos ao ser atingido?," ""Placa Gargolítica"""
Qual campeão tem a habilidade 'Chama de Vingança'?," ""Morgana"""
Qual é o nome da habilidade suprema de Lee Sin?," ""Rádio-Despertador"""
Qual item concede poder de habilidade e reduz a cura inimiga?," ""Cetro de Abissal"""
Qual campeão pode se mover entre sombras com a habilidade 'Sombra Demoníaca'?," ""Kayle"""
Qual é o principal efeito da habilidade passiva 'Corte Sangrento' de Vladimir?," ""Aumenta o poder de habilidade ao usar habilidades"""
Qual item concede dano de ataque e aumenta o tempo de vida de sentinelas?," ""Gume do Infinito"""
Qual campeão tem a habilidade 'Julgamento de Noxus'?," ""Garen"""
Qual é o nome da habilidade suprema de Quinn?," ""Asas da Demacia"""
Qual item concede poder de habilidade e bônus em cura?," ""Tormento de Liandry"""
Qual campeão pode arremessar um barril com a habilidade 'Barril Explosivo'?," ""Gragas"""
Qual é o efeito da habilidade passiva 'Escudo de Doran'?," ""Aumenta a regeneração de vida e dano de ataques básicos"""
Qual item concede armadura e aumenta a regeneração de vida?," ""Couraça do Defunto"""
Qual campeão tem a habilidade 'Gume Relâmpago'?," ""Jinx"""
Qual é o nome da habilidade suprema de Lucian?," ""O Expurgo"""
Qual item concede dano de ataque e aumenta a vida máxima?," ""Rancor de Serylda"""
Qual campeão pode criar uma tempestade de raios com a habilidade 'Carga Elétrica'?," ""Kennen"""
Qual é o principal efeito da habilidade passiva 'Fúria da Tempestade' de Janna?," ""Aumenta a velocidade de movimento de aliados"""
Qual item concede dano de ataque e penetração de armadura?," ""Limiar da Noite"""
Qual campeão tem a habilidade 'Raio Incandescente'?," ""Jayce"""
Qual é o nome da habilidade suprema de Ashe?," ""Flecha de Cristal Encantada"""
What is the name of Kog'Maw's ultimate ability?," ""Living Artillery"""
Which champion is known as 'The Serpent's Embrace'?," ""Cassiopeia"""
What is the effect of the 'Infernal Drake' buff?," ""Increases attack damage and ability power"""
Which champion can dash to enemies with the ability 'Audacious Charge'?," ""Xin Zhao"""
What is the name of the item that grants bonus attack speed and critical strike chance?," ""Phantom Dancer"""
"Which champion's passive ability is 'Living Forge', allowing them to upgrade items?"," ""Ornn"""
